username,id,label,displayname,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,profileImageUrl,totalReplyCount,totalRetweetCount,totalLikeCount,totalQuoteCount,totalSource
boazbaraktcs,1217628182611927040,human,boazbaraktcs@sigmoid.social,False,2020-01-16 02:02:55+00:00,11238,288,4469,5415,101,471,"Cambridge, MA",False,https://pbs.twimg.com/profile_images/1252262363132280834/ytIN-vzv_normal.jpg,100,49,1055,3,1
wale_io,2664730894,human,olawale 💨,False,2014-07-02 17:56:46+00:00,120,1127,2051,4867,0,47,🎈,False,https://pbs.twimg.com/profile_images/1597201080038920192/cljc-5sb_normal.jpg,11,6,49,3,1
b_panagiota,1266703520205549568,human,penny🫢,False,2020-05-30 12:10:45+00:00,6,49,84,1119,0,8,,False,https://pbs.twimg.com/profile_images/1542298658913357825/zsDcrMnc_normal.jpg,4,30,35,1,2
jachodges_md,1089159225148882949,human,"Jacqueline Hodges, MD MPH",False,2019-01-26 13:52:49+00:00,472,759,332,3865,1,44,"Charlottesville, VA",False,https://pbs.twimg.com/profile_images/1583076872535023616/zF1OxN7R_normal.jpg,81,70,1214,15,2
Matthew_Brody,36741729,bot,Matthew Stubblefield,False,2009-04-30 19:01:42+00:00,243,404,4224,6839,8,102,United States,False,https://pbs.twimg.com/profile_images/1596158133986009088/QhKhkena_normal.jpg,9,1,55,1,6
GrianMC,1679822588,bot,Grian,False,2013-08-18 04:21:48+00:00,279144,291,1398,1249,664,276,🇬🇧,False,https://pbs.twimg.com/profile_images/1007734613630947330/rj3Jkwed_normal.jpg,2440,1847,78219,357,3
NikhilSewdass,1519144464,human,Nikhil Sewdass,False,2013-06-15 11:34:55+00:00,159,317,1105,107689,2,19,"Cape Town, South Africa",False,https://pbs.twimg.com/profile_images/1463106911562354688/QmIbBIhm_normal.jpg,27,5,72,0,2
jamie_love,15211869,human,James Love,True,2008-06-23 20:59:59+00:00,10775,2362,61648,19831,381,2609,"ÜT: 38.911326,-77.04508",False,https://pbs.twimg.com/profile_images/1593615954373754881/6SQJIrU4_normal.jpg,183,104,968,11,3
CokeGoves,1309034737756000256,human,Michael Goves Coke Dealer,False,2020-09-24 07:39:51+00:00,198,218,27,84,0,0,,False,https://pbs.twimg.com/profile_images/1309035532287172611/KsSfMoo8_normal.jpg,13,46,169,4,1
fjsantiagoarcos,848975226,human,Javier Santiago-Arcos,False,2012-09-27 09:49:18+00:00,77,199,660,708,0,4,,False,https://pbs.twimg.com/profile_images/1173937456615440384/CA7fg0uA_normal.jpg,24,6,73,0,1
BullshitQuantum,1109809482656149504,human,Quantum Bullshit Detector,False,2019-03-24 13:29:34+00:00,12882,389,775,87,119,3,,False,https://pbs.twimg.com/profile_images/1109811750382108672/uFNvFwnI_normal.png,191,421,4153,64,1
CFKArgentina,138814032,human,Cristina Kirchner,True,2010-04-30 17:36:51+00:00,6137760,240,15834,488,14447,4606,Argentina,False,https://pbs.twimg.com/profile_images/1112014698/foto6-3.jpg_1__normal.jpg,160641,355150,1039552,25098,3
samsmith,457554412,human,SAM SMITH,True,2012-01-07 15:05:53+00:00,7875993,1283,14874,37794,4365,2136,"London, England",False,https://pbs.twimg.com/profile_images/1582061266507632642/2VEEppop_normal.jpg,4972,15094,188281,5853,2
tnhh,17899123,human,Tristan Henderson @tnhh@social.tnhh.org,False,2008-12-05 15:19:41+00:00,1665,999,30551,24318,90,2966,neither here nor there,True,https://pbs.twimg.com/profile_images/1053670970957983744/JLQCA6Ia_normal.jpg,0,0,0,0,0
_akhaliq,2465283662,bot,AK,False,2014-04-27 00:20:12+00:00,108721,1689,14993,21859,1300,10878,,False,https://pbs.twimg.com/profile_images/1451191636810092553/kpM5Fe12_normal.jpg,372,3192,18998,347,2
_crwkmz_,1467973039883182090,human,زردک :),False,2021-12-06 21:44:04+00:00,2893,2930,494,842,0,124,,False,https://pbs.twimg.com/profile_images/1507042800893792256/_c2vUZr__normal.jpg,71,6,562,0,1
ProfBootyPhD,234059290,human,Professor Booty PhD,False,2011-01-04 19:11:39+00:00,4731,4774,97772,250936,111,4777,"Salt Lake City,UT, USA",False,https://pbs.twimg.com/profile_images/551855299502411776/KWfPbWk5_normal.jpeg,51,5,490,1,1
wyomingwormboy,1142890104853106688,human,wyomingwormboy,False,2019-06-23 20:20:09+00:00,3469,750,4662,33346,8,569,,False,https://pbs.twimg.com/profile_images/1328194800080744448/d6bKAsp0_normal.jpg,140,38,1436,12,3
Hitendrakhalasi,779266494270173187,human,Hitendra Khalasi,False,2016-09-23 10:29:45+00:00,15,158,194,191,1,3,"Surat, India",False,https://pbs.twimg.com/profile_images/1473649648342421509/P65_RdPl_normal.jpg,47,1,7,0,2
AnnaMeierPS,284870222,human,Anna Meier,False,2011-04-20 03:30:01+00:00,12218,2347,22180,17053,110,925,"Nottingham, UK",False,https://pbs.twimg.com/profile_images/1513890808755326982/VLSvQYLp_normal.jpg,216,383,2905,32,2
moonynoonymoon,1280925874267787270,human,جوجه,False,2020-07-08 18:05:13+00:00,0,18,0,131,0,0,Lost,False,https://pbs.twimg.com/profile_images/1574935084037283842/USdhg6wM_normal.jpg,0,0,0,0,0
SSIManagement,2599121383,human,SSI Management,False,2014-07-02 04:26:09+00:00,1252,126,125,71,0,16,"Parkstreet, Kolkata",False,https://pbs.twimg.com/profile_images/484198701074628609/JAfw3GtN_normal.jpeg,4,3,21,0,5
ICMol_UV,912974971370115072,human,ICMol,True,2017-09-27 09:39:30+00:00,2290,915,3169,2874,18,835,Valencia,False,https://pbs.twimg.com/profile_images/1406960364412153857/ZAUocf4__normal.jpg,35,334,1476,31,2
RosieGainez,1322906536029626368,human,RosieGainez,False,2020-11-01 14:21:29+00:00,42,1526,15,19,1,0,,False,https://pbs.twimg.com/profile_images/1325188240438136836/0AbCOQue_normal.jpg,2,0,34,0,1
bruno_simon,83389771,human,Bruno Simon,False,2009-10-18 16:06:58+00:00,49253,395,6335,9788,529,908,Paris,False,https://pbs.twimg.com/profile_images/1237999775905189889/YMC3U_UO_normal.jpg,275,186,4288,10,3
franzBADIA,129211757,human,Franz Emilio Badia,False,2010-04-03 14:53:41+00:00,389,361,3319,407,0,42,"ÜT: 42.693655,-71.114062",False,https://pbs.twimg.com/profile_images/1423379762618241024/4lwpJI3u_normal.jpg,59,28,314,9,1
PSFK,765845,human,PSFK,True,2007-02-11 23:14:46+00:00,96793,805,78697,4458,5919,21427,New York City,False,https://pbs.twimg.com/profile_images/23302582/PSFK_Logo_big_normal.jpg,4,10,44,0,2
raamcosta,935031277,human,Rafael Costa,False,2012-11-08 17:36:48+00:00,1565,383,1149,1947,18,19,"Leiria, Portugal",False,https://pbs.twimg.com/profile_images/1478636545334722562/xjOoMbMu_normal.jpg,80,14,278,4,1
