id,conversation_id,date,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,source,retweet,quote_url,reply_to,reply_to_id,view_count
1641660343763042304,1641582374411550720,2023-03-31 04:35:01+00:00,323397650,DirtyHardMoney,Dimas Garcia,,@GlennYoungkin Wait what...? Like weaponizing the supreme court to overturn roe v wade? You just don't care at all about the hypocrisy..,en,"[User(username='GlennYoungkin', id=1276048330586537985, displayname='Glenn Youngkin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,https://twitter.com/GlennYoungkin,1.6415823764122255e+18,
1641660336733585408,1641470562013937667,2023-03-31 04:34:59+00:00,157959833,Deepali_p,Deepali Prabhu,,"@ani30oct It won't be tabled. Every vote bank matters. And if it does get tabled..i am sure it would be justified. And if it's not. There is the SUPREME COURT. Straight and simple.
Wait and watch...",en,"[User(username='ani30oct', id=58516766, displayname='Aniket Shingane🇮🇳', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,https://twitter.com/ani30oct,1.6416591496658657e+18,
1641660299773190145,1641660299773190145,2023-03-31 04:34:50+00:00,991401146,Kerala__,Kerala കേരളം,,"ShashiTharoor: 2/2 My 2014 Private Members' Bill, &amp; @INCIndia’s 2019 manifesto, argued for amending the Sedition Law to bring it into conformity with SupremeCourt rulings that restrict sedition to incitement to violence against the State. The law is grossly &amp; frequently misu…",en,"[User(username='INCIndia', id=1153045459, displayname='Congress', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,
1641660289094668289,1641265090191142917,2023-03-31 04:34:48+00:00,450142621,northwestglock,NorthwestGlockman,"Place(id='d44cb984bf75455e', fullName='Lake Stevens, WA', name='Lake Stevens', type='city', country='United States', countryCode='US')",@JeremyRedfernFL The Supreme Court already ruled last year that this is unconstitutional. Even in times of war they said the government cannot limit a citizens freedom of movement. No curfews no masks!,en,"[User(username='JeremyRedfernFL', id=65995404, displayname='Jeremy Redfern', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,https://twitter.com/JeremyRedfernFL,1.641265090191143e+18,
1641660284724203521,1641303871963426816,2023-03-31 04:34:47+00:00,1351955339894145024,Beetle25521100,Beetle,,@sardesairajdeep Supreme court is impotent. These sizzies couldn't project nupur Sharma from sar tan se juda gang and now giving gyaan,en,"[User(username='sardesairajdeep', id=56304605, displayname='Rajdeep Sardesai', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,https://twitter.com/sardesairajdeep,1.6413038719634268e+18,1.0
1641660272833363970,1641594971462541315,2023-03-31 04:34:44+00:00,1477403601110589441,MaximillanJones,Jones,,"@SpeakerPelosi Then why aren’t Pelosi and many other members of congress in jail forInsider Trading? Why isn’t Lois Lerner in jail? Why isn’t HRC in jail? Why isn’t Schumer in jail for threatening Justices on the Supreme Court? Etc, etc, etc",en,"[User(username='SpeakerPelosi', id=15764644, displayname='Nancy Pelosi', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,https://twitter.com/SpeakerPelosi,1.6415949714625413e+18,1.0
1641660272313253888,1641553508351504391,2023-03-31 04:34:44+00:00,1486258505632083971,shubham37615861,shubham bagri,,"@Alex____o @rhirhibeee Lol, 🤣. Being gay or lesbian is already legal in India and supreme court is right now listening gay marriage case. Some of our own athelete are  already open. It's not WPL but men's cricket or Indian cinema which can do little bit. Regarding Pakistan/BD Lol they dont tolerate",en,"[User(username='Alex____o', id=19533130, displayname='Alex__&*)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='rhirhibeee', id=59808787, displayname='rhiannon blake', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,https://twitter.com/Alex____o,1.6415563835468677e+18,
1641660211134971906,1641660211134971906,2023-03-31 04:34:29+00:00,36723210,smdowner,SMD,,Judicial Conservative Daniel Kelly for Wisconsin Supreme Court https://t.co/Rb5mvnj92k,en,,"[TextLink(text='justicedanielkelly.com', url='https://justicedanielkelly.com/', tcourl='https://t.co/Rb5mvnj92k', indices=(63, 86))]",,0,0,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,
1641660209612349440,1641660209612349440,2023-03-31 04:34:29+00:00,1451401094492532739,NicoleW08107052,Amaru-Khan,,"“Doctrine of Discovery,” a legal concept coined in a 1823 U.S. Supreme Court decision that has come to be understood as meaning that ownership and sovereignty over land passed to Europeans because they “discovered” it.",en,,,,0,0,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,
1641660148597833728,1641645634250846209,2023-03-31 04:34:14+00:00,1577830536810225664,Sisypheus,Morphean,,@sardesairajdeep @KapilSibal and @pbhushan1 are going to file a case in Supreme Court for the same shortly,en,"[User(username='sardesairajdeep', id=56304605, displayname='Rajdeep Sardesai', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KapilSibal', id=1910442534, displayname='Kapil Sibal', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='pbhushan1', id=2284802828, displayname='Prashant Bhushan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,0,0,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,https://twitter.com/sardesairajdeep,1.6416456342508462e+18,2.0
